ed	south	nonwh	hisp	fe	marr	union	wage	age
14	0	0	0	1	1	0	584	30
12	0	0	0	1	1	0	426	21
13	0	0	0	0	0	0	1826	54
12	0	0	0	1	1	1	759	22
16	0	0	0	1	1	0	672	31
14	0	0	0	0	1	0	419	31
12	0	0	0	1	0	0	661	24
15	0	0	0	0	1	1	505	25
11	0	0	0	0	1	0	441	22
12	0	0	0	1	1	0	471	24
8	0	0	0	1	1	0	578	50
16	0	0	0	1	1	0	818	25
13	0	0	0	0	0	1	1400	23
13	0	0	0	1	1	0	797	30
15	0	0	0	1	1	0	709	32
12	0	0	0	0	0	0	795	33
12	0	0	0	0	0	0	294	19
12	0	0	0	0	1	0	647	28
9	0	0	0	0	0	0	323	63
12	0	0	0	0	1	1	1215	39
12	0	0	0	1	1	0	503	50
12	0	0	0	0	1	0	839	28
14	0	0	0	1	1	0	847	33
16	0	0	0	1	1	0	531	30
4	0	0	0	0	1	0	555	59
16	1	1	0	0	0	0	1278	33
11	1	0	0	1	1	0	369	28
9	1	0	0	0	0	1	616	43
13	1	0	0	0	0	1	481	20
17	1	0	0	0	1	0	2547	50
13	1	0	0	0	0	0	211	23
12	1	0	0	1	0	0	535	48
11	0	0	0	1	0	0	818	55
14	0	0	0	1	1	0	1243	36
12	0	0	0	0	0	0	379	29
16	0	0	0	0	1	0	467	42
12	0	0	0	1	0	0	659	25
12	0	0	0	0	1	0	509	30
17	0	0	0	1	1	0	732	34
16	0	0	0	1	0	0	584	36
12	0	0	0	0	1	0	738	40
12	0	0	0	0	1	0	91	45
17	0	0	0	1	1	1	1339	38
14	0	1	0	1	1	1	938	36
11	0	0	0	1	1	0	400	33
18	0	0	0	0	0	0	1167	31
8	0	0	1	0	1	1	957	63
11	0	0	0	1	1	0	333	48
14	0	0	0	0	1	1	2728	40
12	0	0	0	1	1	0	810	39
14	0	0	0	0	1	1	1689	37
12	0	0	0	1	1	0	507	31
17	0	1	0	1	1	1	2147	50
12	0	1	0	1	1	0	832	32
14	0	0	0	1	0	0	1725	36
18	0	0	0	0	1	0	2247	32
12	0	1	0	0	0	1	1606	31
12	0	0	0	0	0	0	2131	26
